player_id,player_url,fifa_version,fifa_update,update_as_of,short_name,long_name,player_positions,overall,potential,value_eur,wage_eur,age,dob,height_cm,weight_kg,club_team_id,club_name,league_id,league_name,league_level,club_position,club_jersey_number,club_loaned_from,club_joined_date,club_contract_valid_until_year,nationality_id,nationality_name,nation_team_id,nation_position,nation_jersey_number,preferred_foot,weak_foot,skill_moves,international_reputation,work_rate,body_type,real_face,release_clause_eur,player_tags,player_traits,pace,shooting,passing,dribbling,defending,physic,attacking_crossing,attacking_finishing,attacking_heading_accuracy,attacking_short_passing,attacking_volleys,skill_dribbling,skill_curve,skill_fk_accuracy,skill_long_passing,skill_ball_control,movement_acceleration,movement_sprint_speed,movement_agility,movement_reactions,movement_balance,power_shot_power,power_jumping,power_stamina,power_strength,power_long_shots,mentality_aggression,mentality_interceptions,mentality_positioning,mentality_vision,mentality_penalties,mentality_composure,defending_marking_awareness,defending_standing_tackle,defending_sliding_tackle,goalkeeping_diving,goalkeeping_handling,goalkeeping_kicking,goalkeeping_positioning,goalkeeping_reflexes,goalkeeping_speed,ls,st,rs,lw,lf,cf,rf,rw,lam,cam,ram,lm,lcm,cm,rcm,rm,lwb,ldm,cdm,rdm,rwb,lb,lcb,cb,rcb,rb,gk,Cluster,PCA1,PCA2,Cluster_Role
182493,https://sofifa.com/player/182493/diego-godin/190002,19.0,2.0,2018-08-21,D. Godín,Diego Roberto Godín Leal,CB,90,90,44000000.0,120000.0,32,1986-02-16,187,78,240.0,Atlético Madrid,53.0,La Liga,1.0,LCB,2.0,,2010-08-01,2019.0,60,Uruguay,1377.0,RCB,3.0,Right,3,2,3,Medium/High,Lean (185+),Yes,90200000.0,"#Aerial Threat, #Tackling, #Tactician, #Strength, #Complete Defender","Dives Into Tackles (AI), Power Header",68.0,48.0,65.0,62.0,89.0,84.0,55,42,92,79,47,53,49,51,70,76,68,68,58,85,54,67,91,66,90,43,88,88,48,52,50,82.0,90,89,89,6,8,15,5,15,,65+2,65+2,65+2,61,62,62,62,61,63+2,63+2,63+2,64+2,69+2,69+2,69+2,64+2,77+2,81+2,81+2,81+2,77+2,80+2,88+2,88+2,88+2,80+2,17+2,1,-2.0651422895159555,1.5302490430781095,"Cluster 1: Defending, Physic, Pace"
183907,https://sofifa.com/player/183907/jerome-boateng/170002,17.0,2.0,2016-09-20,J. Boateng,Jérôme Boateng,CB,90,90,56000000.0,200000.0,27,1988-09-03,192,90,21.0,FC Bayern München,19.0,Bundesliga,1.0,RCB,17.0,,2011-07-14,2021.0,21,Germany,1337.0,RCB,17.0,Right,4,2,4,Medium/Medium,Stocky (185+),Yes,,"#Tackling, #Strength","Long Throw-in, Long Passer (AI)",79.0,50.0,72.0,68.0,90.0,85.0,69,34,87,75,53,67,56,31,80,73,74,83,58,84,54,79,76,75,91,58,83,85,47,76,46,86.0,91,94,91,7,12,15,6,5,,66+3,66+3,66+3,66+2,66+2,66+2,66+2,66+2,68+3,68+3,68+3,70+3,74+3,74+3,74+3,70+3,81+3,83+3,83+3,83+3,81+3,83+3,87+3,87+3,87+3,83+3,16+3,1,-1.0792500775404612,2.1862219425860707,"Cluster 1: Defending, Physic, Pace"
138956,https://sofifa.com/player/138956/giorgio-chiellini/180002,18.0,2.0,2017-09-18,G. Chiellini,Giorgio Chiellini,CB,89,89,38000000.0,225000.0,32,1984-08-14,187,85,45.0,Juventus,31.0,Serie A,1.0,LCB,3.0,,2005-07-01,2018.0,27,Italy,1343.0,LCB,3.0,Left,2,2,4,Low/High,Normal (185+),Yes,62700000.0,"#Tackling, #Tactician, #Strength, #Complete Defender","Long Throw-in, Injury Prone, Avoids Using Weaker Foot, Dives Into Tackles (AI), Leadership, Power Header",74.0,46.0,56.0,59.0,90.0,85.0,58,33,84,59,45,58,60,31,59,57,68,78,59,82,64,78,89,68,91,49,92,88,28,50,50,82.0,92,92,90,3,3,2,4,3,,59+3,59+3,59+3,56+2,55+2,55+2,55+2,56+2,55+3,55+3,55+3,58+3,60+3,60+3,60+3,58+3,75+3,76+3,76+3,76+3,75+3,78+3,86+3,86+3,86+3,78+3,12+3,1,-2.5590213186329205,0.8825716273378126,"Cluster 1: Defending, Physic, Pace"
239818,/player/239818/ruben-santos-gato-alves-dias/240002,24.0,2.0,2023-09-22,Rúben Dias,Rúben dos Santos Gato Alves Dias,CB,89,90,106500000.0,250000.0,26,1997-05-14,187,82,10.0,Manchester City,13.0,Premier League,1.0,LCB,3.0,,2020-09-29,2027.0,38,Portugal,1354.0,RCB,4.0,Right,4,2,4,Medium/High,Normal (185+),Yes,205000000.0,"#Tackling, #Tactician, #Strength, #Complete defender","Bruiser +, Power Header, Block, Aerial",62.0,39.0,66.0,69.0,89.0,87.0,54,29,87,83,32,64,46,48,76,75,54,69,60,89,56,74,84,78,90,26,93,86,39,51,45,81.0,91,91,87,7,8,13,7,12,,61+3,61+3,61+3,60,61,61,61,60,62+3,62+3,62+3,64+3,70+3,70+3,70+3,64+3,78+3,83+3,83+3,83+3,78+3,80+3,88+2,88+2,88+2,80+3,18+3,1,-2.243404885612776,1.950243444295069,"Cluster 1: Defending, Physic, Pace"
201024,https://sofifa.com/player/201024/kalidou-koulibaly/200002,20.0,2.0,2019-09-19,K. Koulibaly,Kalidou Koulibaly,CB,89,91,67500000.0,145000.0,28,1991-06-20,187,89,48.0,Napoli,31.0,Serie A,1.0,LCB,26.0,,2014-07-01,2021.0,136,Senegal,,,,Right,3,2,3,Medium/High,Normal (185+),Yes,119800000.0,"#Tackling, #Tactician, #Strength, #Complete Defender",Power Header,71.0,28.0,54.0,67.0,89.0,87.0,30,22,83,71,14,69,28,28,63,71,69,73,52,86,41,55,81,73,95,15,87,88,35,52,33,82.0,91,90,87,7,11,7,13,5,,57+3,57+3,57+3,56,58,58,58,56,59+3,59+3,59+3,60+3,65+3,65+3,65+3,60+3,74+3,80+3,80+3,80+3,74+3,77+3,87+3,87+3,87+3,77+3,17+3,1,-2.96235432036677,0.9687387301249504,"Cluster 1: Defending, Physic, Pace"
120533,https://sofifa.com/player/120533/kepler-laveran-lima-ferreira/170002,17.0,2.0,2016-09-20,Pepe,Kléper Laveran de Lima Ferreira,CB,88,88,23500000.0,300000.0,33,1983-02-26,188,81,243.0,Real Madrid,53.0,La Liga,1.0,RCB,3.0,,2007-07-01,2017.0,38,Portugal,1354.0,LCB,3.0,Right,3,2,4,Medium/High,Lean (185+),Yes,,"#Tackling, #Tactician ",Dives Into Tackles (AI),71.0,51.0,56.0,59.0,88.0,81.0,46,46,82,67,23,58,44,47,61,58,65,75,63,84,49,63,76,64,84,56,94,88,40,48,57,68.0,88,89,90,8,15,5,9,10,,61+3,61+3,61+3,58+2,59+2,59+2,59+2,58+2,58+3,58+3,58+3,59+3,63+3,63+3,63+3,59+3,73+3,76+3,76+3,76+3,73+3,77+3,85+3,85+3,85+3,77+3,18+3,1,-2.2914360864207746,0.6458376097126541,"Cluster 1: Defending, Physic, Pace"
184344,https://sofifa.com/player/184344/leonardo-bonucci/180002,18.0,2.0,2017-09-18,L. Bonucci,Leonardo Bonucci,CB,88,88,44000000.0,200000.0,30,1987-05-01,190,85,47.0,Milan,31.0,Serie A,1.0,RCB,19.0,,2017-07-14,2022.0,27,Italy,1343.0,RCB,19.0,Right,3,2,3,Low/High,Lean (185+),Yes,74800000.0,"#Tackling, #Tactician ","Power Free-Kick, Injury Free, Leadership, Long Passer (AI), Power Header",68.0,54.0,70.0,70.0,87.0,81.0,44,39,88,79,58,69,56,61,85,75,62,72,60,86,52,74,85,73,85,65,82,90,38,74,70,84.0,84,88,88,2,2,3,2,4,,65+2,65+2,65+2,63+1,66+1,66+1,66+1,63+1,68+2,68+2,68+2,66+2,75+2,75+2,75+2,66+2,76+2,83+2,83+2,83+2,76+2,79+2,86+2,86+2,86+2,79+2,12+2,1,-1.0531639033845246,1.8916193906782868,"Cluster 1: Defending, Physic, Pace"
205452,/player/205452/antonio-rudiger/230002,23.0,2.0,2022-09-26,A. Rüdiger,Antonio Rüdiger,CB,87,88,73500000.0,250000.0,29,1993-03-03,190,85,243.0,Real Madrid,53.0,La Liga,1.0,RCB,22.0,,2022-07-01,2026.0,21,Germany,1337.0,LCB,2.0,Right,3,2,2,High/High,Lean (185+),Yes,156200000.0,#Strength,"Long Passer (AI), Long Shot Taker (AI)",82.0,53.0,71.0,67.0,86.0,85.0,68,40,82,80,34,64,50,56,78,72,72,91,56,85,50,77,84,71,90,67,92,84,49,61,40,78.0,88,87,84,14,15,10,12,8,,67+2,67+2,67+2,67,67,67,67,67,67+2,67+2,67+2,69+2,72+2,72+2,72+2,69+2,79+2,81+2,81+2,81+2,79+2,81+2,86+2,86+2,86+2,81+2,20+2,1,-0.9010722751901056,1.9593867299020433,"Cluster 1: Defending, Physic, Pace"
253163,/player/253163/ronald-araujo/240002,24.0,2.0,2023-09-22,R. Araujo,Ronald Federico Araújo da Silva,"CB, RB",86,91,93000000.0,175000.0,24,1999-03-07,188,79,241.0,FC Barcelona,53.0,La Liga,1.0,SUB,4.0,,2018-08-29,2026.0,60,Uruguay,,,,Right,3,2,3,Medium/High,Normal (185+),Yes,197600000.0,#Tackling ,"Block +, Power Header, Jockey, Anticipate, Slide Tackle, Acrobatic",79.0,51.0,65.0,62.0,86.0,84.0,58,56,85,76,38,55,47,45,66,68,71,85,56,84,55,61,90,73,87,35,87,85,56,59,43,76.0,86,86,86,11,14,9,11,8,,66+3,66+3,66+3,64,64,64,64,64,64+3,64+3,64+3,66+3,68+3,68+3,68+3,66+3,77+3,79+3,79+3,79+3,77+3,79+3,85+3,85+3,85+3,79+3,19+3,1,-1.5585676390176657,1.3737356070388296,"Cluster 1: Defending, Physic, Pace"
139720,https://sofifa.com/player/139720/vincent-kompany/150002,15.0,2.0,2014-09-18,V. Kompany,Vincent Jean Mpoy Kompany,CB,86,86,31500000.0,220000.0,28,1986-04-10,192,85,10.0,Manchester City,13.0,Premier League,1.0,RCB,4.0,,2008-08-22,2019.0,7,Belgium,1325.0,RCB,4.0,Right,3,2,4,Medium/Medium,Normal (185+),Yes,,"#Tackling, #Tactician, #Strength, #Complete Defender","Injury Prone, Dives Into Tackles (AI), Leadership",73.0,56.0,69.0,67.0,87.0,81.0,61,45,84,80,46,64,61,52,75,74,68,77,63,84,42,76,73,70,88,67,78,87,41,59,63,,85,90,85,10,9,5,8,6,,64+2,64+2,64+2,66+2,66+2,66+2,66+2,66+2,66+2,66+2,66+2,68+2,72+2,72+2,72+2,68+2,78+2,80+2,80+2,80+2,78+2,81+2,84+2,84+2,84+2,81+2,13+2,1,-1.0370243657222251,1.717249353657327,"Cluster 1: Defending, Physic, Pace"
