player_id,player_url,fifa_version,fifa_update,update_as_of,short_name,long_name,player_positions,overall,potential,value_eur,wage_eur,age,dob,height_cm,weight_kg,club_team_id,club_name,league_id,league_name,league_level,club_position,club_jersey_number,club_loaned_from,club_joined_date,club_contract_valid_until_year,nationality_id,nationality_name,nation_team_id,nation_position,nation_jersey_number,preferred_foot,weak_foot,skill_moves,international_reputation,work_rate,body_type,real_face,release_clause_eur,player_tags,player_traits,pace,shooting,passing,dribbling,defending,physic,attacking_crossing,attacking_finishing,attacking_heading_accuracy,attacking_short_passing,attacking_volleys,skill_dribbling,skill_curve,skill_fk_accuracy,skill_long_passing,skill_ball_control,movement_acceleration,movement_sprint_speed,movement_agility,movement_reactions,movement_balance,power_shot_power,power_jumping,power_stamina,power_strength,power_long_shots,mentality_aggression,mentality_interceptions,mentality_positioning,mentality_vision,mentality_penalties,mentality_composure,defending_marking_awareness,defending_standing_tackle,defending_sliding_tackle,goalkeeping_diving,goalkeeping_handling,goalkeeping_kicking,goalkeeping_positioning,goalkeeping_reflexes,goalkeeping_speed,ls,st,rs,lw,lf,cf,rf,rw,lam,cam,ram,lm,lcm,cm,rcm,rm,lwb,ldm,cdm,rdm,rwb,lb,lcb,cb,rcb,rb,gk,Cluster,PCA1,PCA2,Cluster_Role
192774,https://sofifa.com/player/192774/kostas-manolas/200002,20.0,2.0,2019-09-19,K. Manolas,Konstantinos Manolas,CB,85,86,37500000.0,100000.0,28,1991-06-14,189,83,48.0,Napoli,31.0,Serie A,1.0,RCB,44.0,,2019-07-02,2022.0,22,Greece,1338.0,LCB,4.0,Right,2,2,3,Low/High,Normal (185+),No,66600000.0,"#Tackling, #Tactician ",Dives Into Tackles (AI),82.0,25.0,42.0,60.0,86.0,81.0,27,25,80,60,16,54,30,10,61,65,81,83,68,82,60,40,86,72,82,12,86,86,25,22,26,85.0,87,87,89,8,6,8,15,12,,52+3,52+3,52+3,51,50,50,50,51,50+3,50+3,50+3,54+3,56+3,56+3,56+3,54+3,72+3,74+3,74+3,74+3,72+3,76+3,83+3,83+3,83+3,76+3,18+3,4,-3.332843848679795,-0.5520062734027928,"Cluster 4: Defending, Physic, Pace"
216460,https://sofifa.com/player/216460/jose-maria-gimenez/200002,20.0,2.0,2019-09-19,J. Giménez,José María Giménez de Vargas,CB,85,89,45000000.0,69000.0,24,1995-01-20,185,80,240.0,Atlético Madrid,53.0,La Liga,1.0,RCB,2.0,,2013-07-01,2023.0,60,Uruguay,,,,Right,3,2,2,Medium/High,Normal (185+),Yes,95600000.0,#Tackling ,Dives Into Tackles (AI),69.0,45.0,52.0,54.0,86.0,82.0,47,37,81,69,30,50,36,44,62,60,67,70,54,79,39,72,89,64,88,48,89,85,24,27,38,75.0,88,86,86,9,11,7,10,15,,57+2,57+2,57+2,52,53,53,53,52,52+2,52+2,52+2,54+2,58+2,58+2,58+2,54+2,72+2,75+2,75+2,75+2,72+2,75+2,84+2,84+2,84+2,75+2,18+2,4,-3.0001643618406044,0.2088972616487409,"Cluster 4: Defending, Physic, Pace"
212190,https://sofifa.com/player/212190/niklas-sule/200002,20.0,2.0,2019-09-19,N. Süle,Niklas Süle,CB,85,90,46500000.0,115000.0,23,1995-09-03,195,97,21.0,FC Bayern München,19.0,Bundesliga,1.0,RCB,4.0,,2017-07-01,2022.0,21,Germany,1337.0,RCB,15.0,Right,3,2,2,Medium/Medium,Stocky (185+),Yes,80200000.0,"#Aerial Threat, #Tackling, #Strength",,72.0,42.0,55.0,50.0,86.0,82.0,34,22,86,78,33,43,28,30,69,63,53,87,34,81,33,77,40,66,94,62,83,81,26,40,32,75.0,85,89,87,15,7,14,7,15,,57+2,57+2,57+2,51,54,54,54,51,54+2,54+2,54+2,54+2,63+2,63+2,63+2,54+2,71+2,77+2,77+2,77+2,71+2,75+2,83+2,83+2,83+2,75+2,19+2,4,-3.0947134829511462,0.2556577539054493,"Cluster 4: Defending, Physic, Pace"
190547,https://sofifa.com/player/190547/kamil-glik/180002,18.0,2.0,2017-09-18,K. Glik,Kamil Jacek Glik,CB,85,85,30000000.0,60000.0,29,1988-02-03,190,80,69.0,Monaco,16.0,Ligue 1,1.0,RCB,25.0,,2016-07-06,2021.0,37,Poland,,,,Right,2,2,3,Low/Medium,Normal (185+),No,57000000.0,#Strength,"Dives Into Tackles (AI), Long Passer (AI), Power Header",56.0,32.0,44.0,53.0,86.0,84.0,29,27,85,63,17,51,35,26,59,59,53,58,34,79,55,57,82,72,90,20,86,87,24,23,39,79.0,85,87,83,10,14,5,8,10,,52+2,52+2,52+2,45+1,48+1,48+1,48+1,45+1,47+2,47+2,47+2,50+2,55+2,55+2,55+2,50+2,68+2,74+2,74+2,74+2,68+2,72+2,83+2,83+2,83+2,72+2,18+2,4,-4.322976580115825,-0.22412752448558235,"Cluster 4: Defending, Physic, Pace"
13732,https://sofifa.com/player/13732/john-terry/160002,16.0,2.0,2015-09-21,J. Terry,John Terry,CB,85,85,10500000.0,120000.0,34,1980-12-07,187,90,5.0,Chelsea,13.0,Premier League,1.0,SUB,26.0,,1998-10-28,2016.0,14,England,,,,Right,4,2,3,Medium/High,Normal (185+),Yes,,"#Aerial Threat, #Tackling, #Tactician, #Strength, #Complete Defender","Leadership, Power Header, One Club Player",34.0,47.0,57.0,52.0,87.0,81.0,42,46,90,66,55,45,44,31,64,63,33,34,44,85,46,61,78,67,86,33,88,86,38,59,52,,87,87,85,14,5,6,15,8,,57+1,57+1,57+1,50+1,54+1,54+1,54+1,50+1,55+1,55+1,55+1,53+1,63+1,63+1,63+1,53+1,68+1,77+1,77+1,77+1,68+1,71+1,84+1,84+1,84+1,71+1,18+1,4,-3.9033140010181975,0.7194613544094813,"Cluster 4: Defending, Physic, Pace"
204639,/player/204639/stefan-savic/230002,23.0,2.0,2022-09-26,S. Savić,Stefan Savić,CB,84,84,29000000.0,74000.0,31,1991-01-08,187,80,240.0,Atlético Madrid,53.0,La Liga,1.0,RCB,15.0,,2015-07-20,2024.0,15,Montenegro,,,,Right,3,2,2,Medium/High,Lean (185+),Yes,59500000.0,#Tactician ,Power Header,64.0,35.0,58.0,58.0,87.0,80.0,36,34,84,73,27,47,34,30,72,67,60,68,58,82,52,43,86,69,83,31,86,87,29,55,37,80.0,90,86,83,14,13,14,13,12,,54+2,54+2,54+2,53,54,54,54,53,57+2,57+2,57+2,57+2,65+2,65+2,65+2,57+2,72+2,79+2,79+2,79+2,72+2,75+2,84,84,84,75+2,21+2,4,-2.9559735659319957,0.6157079159065515,"Cluster 4: Defending, Physic, Pace"
207863,https://sofifa.com/player/207863/felipe-augusto-de-almeida-monteiro/220002,22.0,2.0,2021-09-23,Felipe,Felipe Augusto de Almeida Monteiro,CB,84,84,27500000.0,74000.0,32,1989-05-16,190,84,240.0,Atlético Madrid,53.0,La Liga,1.0,SUB,18.0,,2019-07-01,2022.0,54,Brazil,,,,Right,3,2,3,Low/High,Normal (185+),Yes,56400000.0,#Strength,Power Header,61.0,41.0,58.0,62.0,85.0,84.0,45,39,83,73,44,57,32,30,69,64,55,66,66,81,52,46,89,68,90,41,89,85,34,50,47,75.0,86,85,82,9,11,14,9,7,,57+3,57+3,57+3,56,56,56,56,56,58+3,58+3,58+3,58+3,64+3,64+3,64+3,58+3,72+3,77+3,77+3,77+3,72+3,74+3,84,84,84,74+3,17+3,4,-2.742244799208151,0.9445987176093217,"Cluster 4: Defending, Physic, Pace"
157481,https://sofifa.com/player/157481/raul-albiol-tortajada/190002,19.0,2.0,2018-08-21,Raúl Albiol,Raúl Albiol Tortajada,CB,84,84,18000000.0,90000.0,32,1985-09-04,190,82,48.0,Napoli,31.0,Serie A,1.0,RCB,33.0,,2013-07-21,2021.0,45,Spain,,,,Right,3,2,3,Low/Medium,Lean (185+),Yes,30600000.0,"#Tackling, #Tactician ",,53.0,41.0,61.0,63.0,86.0,75.0,38,27,77,74,31,59,53,45,72,71,54,53,53,82,56,65,77,55,82,53,81,86,30,57,37,75.0,89,87,85,8,6,5,9,8,,56+2,56+2,56+2,55,57,57,57,55,59+2,59+2,59+2,57+2,66+2,66+2,66+2,57+2,70+2,78+2,78+2,78+2,70+2,73+2,83+1,83+1,83+1,73+2,16+2,4,-2.4836822821966527,0.7580208534460833,"Cluster 4: Defending, Physic, Pace"
164468,https://sofifa.com/player/164468/gary-cahill/180002,18.0,2.0,2017-09-18,G. Cahill,Gary Cahill,CB,84,84,21000000.0,160000.0,31,1985-12-19,193,86,5.0,Chelsea,13.0,Premier League,1.0,LCB,24.0,,2012-01-16,2019.0,14,England,1318.0,RCB,5.0,Right,3,2,3,Medium/Medium,Normal (185+),Yes,38900000.0,,"Dives Into Tackles (AI), Power Header",63.0,58.0,52.0,61.0,84.0,78.0,28,56,86,65,47,58,48,27,61,63,62,63,62,85,51,63,82,69,80,66,84,83,45,56,53,75.0,84,85,84,5,12,9,5,12,,64+2,64+2,64+2,58+1,61+1,61+1,61+1,58+1,61+2,61+2,61+2,58+2,65+2,65+2,65+2,58+2,69+2,75+2,75+2,75+2,69+2,73+2,82+2,82+2,82+2,73+2,17+2,4,-2.175710920828372,0.23898132802214067,"Cluster 4: Defending, Physic, Pace"
140601,https://sofifa.com/player/140601/nemanja-vidic/150002,15.0,2.0,2014-09-18,N. Vidić,Nemanja Vidić,CB,83,83,9000000.0,130000.0,32,1981-10-21,190,88,44.0,Inter,31.0,Serie A,1.0,SUB,15.0,,2014-07-01,2016.0,51,Serbia,,,,Right,3,2,3,Medium/High,Normal (185+),Yes,,#Strength,"Injury Prone, Power Header",52.0,39.0,55.0,51.0,84.0,83.0,39,36,88,64,40,43,42,47,61,62,49,55,50,76,47,56,85,64,90,28,90,81,25,55,58,,84,85,81,11,4,13,7,5,,51+1,51+1,51+1,48+1,50+1,50+1,50+1,48+1,51+1,51+1,51+1,53+1,59+1,59+1,59+1,53+1,68+1,73+1,73+1,73+1,68+1,74+1,82+1,82+1,82+1,74+1,11+1,4,-3.7645331747937893,0.39846465113945945,"Cluster 4: Defending, Physic, Pace"
